Gc_kg_s,eta_ex_system,Power_total_W,T_water_mix_K,total_mdot_water_kg_s,warnings,Gc_norm_s1,n_s1,eta_s1,eps_s1,Pin_s1_bar,Pout_s1_bar,PR_s1,Tin_s1_K,Tout_s1_K,Power_s1_W,T_water_out_s1_K,H_water_s1_Jperkg,T_air_out_intercooler_s1_K,Gc_norm_s2,n_s2,eta_s2,eps_s2,Pin_s2_bar,Pout_s2_bar,PR_s2,Tin_s2_K,Tout_s2_K,Power_s2_W,T_water_out_s2_K,H_water_s2_Jperkg,T_air_out_intercooler_s2_K,Gc_norm_s3,n_s3,eta_s3,eps_s3,Pin_s3_bar,Pout_s3_bar,PR_s3,Tin_s3_K,Tout_s3_K,Power_s3_W,T_water_out_s3_K,H_water_s3_Jperkg,T_air_out_intercooler_s3_K,Gc_norm_s4,n_s4,eta_s4,eps_s4,Pin_s4_bar,Pout_s4_bar,PR_s4,Tin_s4_K,Tout_s4_K,Power_s4_W,T_water_out_s4_K,H_water_s4_Jperkg,T_air_out_intercooler_s4_K,Optimization_Success,Status,opt_n_stage1
12.15,0.847702,7089531.283,,,Success,1.198461,1.049804,0.82646,3.62798,1.01325,3.388789,3.344475,298,457.411754,1958796.97,443.39575,720379.2728,306.090712,1.079513,1,0.835443,3.146586,3.388789,10.403047,3.069842,306.090712,447.329235,1734135.808,434.957934,683652.0977,305.916507,1.114499,1,0.831134,3.090818,10.403047,31.885506,3.065016,305.916507,445.693533,1714750.384,437.125425,693064.0387,304.815687,1.167156,1,0.822771,2.98821,31.885506,95,2.97941,304.815687,441.546202,1681848.121,438.088392,697250.4117,307.064358,TRUE,Success,1.049804
12.1,0.848015,7056098.504,,,Success,1.193529,1.048279,0.826981,3.614658,1.01325,3.37765,3.333481,298,456.775187,1942862.212,442.838684,717947.0818,306.046009,1.078538,1,0.835546,3.147999,3.37765,10.374094,3.071394,306.046009,447.311214,1727321.096,434.956807,683647.2056,305.895729,1.112972,1,0.831345,3.093458,10.374094,31.824883,3.067727,305.895729,445.750322,1708643.185,437.188094,693336.3929,304.799362,1.164536,1,0.823231,2.993846,31.824883,95,2.985086,304.799362,441.721941,1677272.011,438.267456,698029.2034,307.059303,TRUE,Success,1.048279
12.05,0.848328,7022725.941,,,Success,1.188597,1.046755,0.827495,3.601374,1.01325,3.366539,3.322516,298,456.140621,1927018.051,442.283225,715522.9935,306.001402,1.077547,1,0.83565,3.149426,3.366539,10.345246,3.072962,306.001402,447.293811,1720510.176,434.956282,683644.9274,305.874945,1.111426,1,0.831557,3.096113,10.345246,31.764588,3.070453,305.874945,445.807537,1702533.496,437.251214,693610.7184,304.783025,1.161894,1,0.823692,2.999473,31.764588,95,2.990752,304.783025,441.896665,1672664.219,438.445584,698804.028,307.054158,TRUE,Success,1.046755
12,0.84864,6989413.88,,,Success,1.183665,1.045234,0.828002,3.588128,1.01325,3.355458,3.311579,298,455.508106,1911264.783,441.729421,713107.2015,305.956892,1.076542,1,0.835754,3.150867,3.355458,10.316507,3.074545,305.956892,447.277037,1713703.085,434.956371,683645.3148,305.854154,1.10986,1,0.83177,3.098782,10.316507,31.704627,3.073194,305.854154,445.86518,1696421.271,437.314787,693887.0262,304.766675,1.15923,1,0.824151,3.005089,31.704627,95,2.996408,304.766675,442.07036,1668024.741,438.622763,699574.8289,307.048922,TRUE,Success,1.045234
11.95,0.848952,6956162.626,,,Success,1.178733,1.043715,0.828503,3.574921,1.01325,3.344407,3.300673,298,454.877695,1895602.718,441.177323,710699.9064,305.912484,1.07552,1,0.835858,3.152321,3.344407,10.287878,3.076144,305.912484,447.260907,1706899.863,434.957087,683648.4212,305.833356,1.108274,1,0.831983,3.101465,10.287878,31.645006,3.075951,305.833356,445.923254,1690306.467,437.378816,694165.3279,304.750313,1.156544,1,0.82461,3.010694,31.645006,95,3.002053,304.750313,442.243013,1663353.579,438.79898,700341.5498,307.043594,TRUE,Success,1.043715
11.9,0.849263,6922972.502,,,Success,1.173802,1.042197,0.828998,3.561755,1.01325,3.333386,3.289797,298,454.249444,1880032.175,440.626983,708301.3163,305.86818,1.074483,1,0.835964,3.15379,3.333386,10.259362,3.07776,305.86818,447.245431,1700100.546,434.958442,683654.3008,305.812553,1.106666,1,0.832196,3.104164,10.259362,31.585733,3.078723,305.812553,445.98176,1684189.04,437.443303,694445.6349,304.73394,1.153835,1,0.825069,3.016287,31.585733,95,3.007687,304.73394,442.41461,1658650.741,438.974224,701104.1355,307.038176,TRUE,Success,1.042197
11.85,0.849573,6889843.851,,,Success,1.16887,1.040682,0.829485,3.54863,1.01325,3.322398,3.278952,298,453.623407,1864553.489,440.078454,705911.6471,305.823983,1.07343,1,0.836069,3.155272,3.322398,10.230963,3.079391,305.823983,447.230626,1693305.178,434.960449,683663.0094,305.791744,1.105038,1,0.83241,3.106876,10.230963,31.526814,3.08151,305.791744,446.0407,1678068.946,437.50825,694727.9591,304.717554,1.151103,1,0.825526,3.021868,31.526814,95,3.013308,304.717554,442.585141,1653916.239,439.148481,701862.5319,307.032666,TRUE,Success,1.040682
11.8,0.849883,6856777.038,,,Success,1.163938,1.03917,0.829966,3.535546,1.01325,3.311442,3.268139,298,452.999645,1849167.005,439.531792,703531.1227,305.779896,1.07236,1,0.836175,3.156769,3.311442,10.202682,3.081039,305.779896,447.216503,1686513.797,434.963122,683674.6043,305.77093,1.103388,1,0.832625,3.109602,10.202682,31.468255,3.084312,305.77093,446.100077,1671946.14,437.573662,695012.3127,304.701156,1.148349,1,0.825982,3.027434,31.468255,95,3.018915,304.701156,442.75459,1649150.095,439.32174,702616.6857,307.027065,TRUE,Success,1.03917
11.75,0.850192,6823772.448,,,Success,1.159006,1.037659,0.830439,3.522504,1.01325,3.300519,3.257359,298,452.378217,1833873.085,438.987055,701159.9757,305.735923,1.071273,1,0.836282,3.15828,3.300519,10.174523,3.082704,305.735923,447.203077,1679726.449,434.966473,683689.1439,305.75011,1.101716,1,0.83284,3.112343,10.174523,31.410065,3.087129,305.75011,446.159893,1665820.58,437.63954,695298.7083,304.684747,1.14557,1,0.826436,3.032986,31.410065,95,3.024508,304.684747,442.922948,1644352.334,439.49399,703366.5451,307.021373,TRUE,Success,1.037659
11.7,0.8505,6790830.493,,,Success,1.154074,1.036152,0.830904,3.509507,1.01325,3.28963,3.246613,298,451.759188,1818672.104,438.444301,698798.4473,305.692068,1.070168,1,0.836389,3.159806,3.28963,10.146488,3.084386,305.692068,447.190363,1672943.176,434.970516,683706.6885,305.729285,1.100021,1,0.833055,3.115097,10.146488,31.35225,3.089961,305.729285,446.220149,1659692.224,437.705887,695587.1589,304.668325,1.142768,1,0.826889,3.038522,31.35225,95,3.030086,304.668325,443.090201,1639522.989,439.66522,704112.0595,307.015589,TRUE,Success,1.036152
